t,n_alive,mean_reward,mean_marginal,mean_k1,mean_k3,mean_kl_exact
1,200,-2.000000,0.000000,0.000004,-0.000000,0.000001
2,200,-2.000000,0.000000,0.000025,0.000000,0.000010
3,200,-2.000000,0.000000,0.000030,-0.000000,0.000013
4,200,-2.000000,0.000000,0.000000,-0.000000,0.000000
5,200,-2.000000,0.000000,0.000015,0.000000,0.000009
6,200,-2.000000,0.000000,0.000009,0.000000,0.000006
7,200,-2.000000,0.000000,0.000004,0.000000,0.000002
8,200,-2.000000,0.000000,0.000019,0.000000,0.000015
9,200,-0.903301,1.096699,0.132499,0.101163,0.111485
10,200,-0.840001,0.063300,0.043887,0.031178,0.033109
11,200,-0.807318,0.032683,0.036239,0.050142,0.053831
12,200,-0.789270,0.018047,0.069040,0.037003,0.039070
13,200,-0.783199,0.006071,0.029076,0.045024,0.050617
14,200,-0.777035,0.006164,0.080411,0.049187,0.055987
15,200,-0.769967,0.007068,0.051628,0.053429,0.058090
16,200,-0.771852,-0.001884,0.053714,0.053130,0.054899
17,200,-0.761777,0.010075,0.053671,0.050472,0.055362
18,200,-0.756034,0.005742,0.038321,0.046125,0.042855
19,200,-0.747875,0.008160,0.040005,0.048070,0.043981
20,200,-0.743559,0.004316,0.044892,0.063686,0.044499
21,200,-0.739532,0.004027,0.041063,0.034510,0.042710
22,200,-0.741343,-0.001811,0.047255,0.036058,0.046096
23,200,-0.727938,0.013405,0.059233,0.029336,0.048772
24,200,-0.724834,0.003104,0.060624,0.053275,0.046818
25,200,-0.724630,0.000204,0.038635,0.064552,0.046954
26,200,-0.713661,0.010969,0.061775,0.045779,0.046322
27,200,-0.716996,-0.003335,0.064222,0.039884,0.045491
28,200,-0.715320,0.001676,0.044040,0.057447,0.047022
29,200,-0.706283,0.009037,0.057411,0.049589,0.051289
30,200,-0.706121,0.000161,0.055977,0.046666,0.061458
31,200,-0.701345,0.004776,0.059822,0.053944,0.057232
32,200,-0.700105,0.001240,0.035830,0.059632,0.056788
33,200,-0.699005,0.001101,0.017642,0.056823,0.060068
34,200,-0.693354,0.005650,0.034830,0.060591,0.057544
35,200,-0.686473,0.006881,0.077818,0.040935,0.052419
36,200,-0.671184,0.015289,0.086496,0.077191,0.062642
37,200,-0.656406,0.014779,0.048893,0.061472,0.055101
38,200,-0.649028,0.007377,0.071694,0.048014,0.046683
39,200,-0.645645,0.003383,0.030016,0.041647,0.055848
40,200,-0.641284,0.004361,0.062522,0.056789,0.051940
41,200,-0.624346,0.016938,0.006136,0.067904,0.053973
42,200,-0.610502,0.013844,0.035928,0.055811,0.048086
43,200,-0.611722,-0.001220,0.021940,0.075198,0.050023
44,200,-0.602213,0.009509,0.061374,0.055404,0.047786
45,200,-0.595454,0.006759,0.063098,0.045873,0.042691
46,200,-0.595708,-0.000254,0.028723,0.055103,0.046835
47,200,-0.591234,0.004474,0.038127,0.040495,0.045360
48,200,-0.592315,-0.001081,0.018728,0.047749,0.041845
49,200,-0.598313,-0.005997,0.048173,0.046133,0.046816
50,200,-0.580308,0.018005,0.040575,0.066759,0.040672
51,200,-0.569859,0.010448,0.061212,0.024335,0.041600
52,200,-0.568007,0.001853,0.040267,0.039594,0.041715
53,200,-0.554798,0.013209,0.050814,0.024227,0.042510
54,200,-0.553407,0.001391,0.051183,0.052112,0.041276
55,200,-0.549901,0.003505,0.034798,0.033154,0.034139
56,200,-0.550592,-0.000691,0.012812,0.033490,0.034303
57,200,-0.547850,0.002742,0.053815,0.051104,0.036615
58,200,-0.547537,0.000313,0.028055,0.036749,0.037061
59,200,-0.537156,0.010381,0.038086,0.034506,0.034553
60,200,-0.535762,0.001394,0.041008,0.032221,0.035193
61,200,-0.522106,0.013656,0.037098,0.035143,0.040796
62,200,-0.504927,0.017179,0.055102,0.033927,0.036510
63,200,-0.491402,0.013525,0.047038,0.039846,0.038521
64,200,-0.491984,-0.000583,0.031227,0.028654,0.033989
65,200,-0.482973,0.009011,0.019869,0.033616,0.031285
66,200,-0.479224,0.003749,0.066978,0.023086,0.035697
67,200,-0.478323,0.000901,0.024738,0.027597,0.033698
68,200,-0.467544,0.010779,0.028831,0.028680,0.032738
69,200,-0.461147,0.006397,0.001833,0.038544,0.033044
70,200,-0.458009,0.003138,0.010082,0.024582,0.033701
71,200,-0.457406,0.000603,0.022020,0.038860,0.032726
72,200,-0.456520,0.000886,0.069989,0.025921,0.037447
73,200,-0.439742,0.016778,0.007294,0.033216,0.032403
74,200,-0.440305,-0.000564,0.028099,0.024290,0.030248
75,200,-0.435643,0.004662,0.035511,0.021956,0.030110
76,200,-0.428675,0.006968,0.053533,0.024108,0.035069
77,200,-0.426950,0.001725,0.051941,0.037889,0.031197
78,200,-0.415190,0.011760,0.016446,0.062285,0.030577
79,200,-0.409113,0.006078,0.029464,0.022562,0.030755
80,200,-0.400703,0.008409,0.053815,0.032216,0.033688
81,200,-0.400622,0.000082,0.009434,0.027957,0.027010
82,200,-0.393602,0.007020,0.061364,0.025590,0.035950
83,200,-0.387748,0.005854,0.042795,0.028729,0.035992
84,200,-0.384835,0.002912,0.023965,0.047029,0.033942
85,200,-0.380396,0.004439,-0.034165,0.051754,0.033330
86,200,-0.370466,0.009930,0.076814,0.022127,0.033954
87,200,-0.360181,0.010285,0.047060,0.032955,0.033479
88,200,-0.354205,0.005976,0.034747,0.025161,0.026990
89,200,-0.350740,0.003465,0.005484,0.020277,0.027743
90,200,-0.342008,0.008733,0.001548,0.025490,0.030198
91,200,-0.345439,-0.003431,0.045902,0.038924,0.030423
92,200,-0.343315,0.002124,0.020689,0.039851,0.030275
93,200,-0.342894,0.000421,0.033199,0.046429,0.032204
94,200,-0.335416,0.007478,0.045350,0.027099,0.035889
95,200,-0.331970,0.003446,-0.003667,0.027905,0.027809
96,200,-0.327174,0.004795,0.042053,0.025008,0.028771
97,200,-0.323933,0.003241,0.029865,0.029611,0.032394
98,199,-0.323685,0.001172,0.041663,0.020243,0.023094
99,199,-0.320452,0.003234,0.042066,0.023651,0.026458
100,197,-0.314312,0.006048,0.042628,0.022264,0.027643
101,197,-0.309424,0.004889,0.071664,0.026083,0.031086
102,196,-0.307985,0.001809,0.045770,0.019798,0.025508
103,194,-0.308791,0.000595,0.017746,0.032395,0.033430
104,192,-0.303788,0.006239,0.020931,0.034209,0.031461
105,191,-0.304000,-0.003292,0.061790,0.044698,0.037891
106,188,-0.302208,0.002875,0.028071,0.034525,0.026069
107,188,-0.301352,0.000856,0.021268,0.038283,0.030133
108,184,-0.299236,0.004121,0.018423,0.023661,0.025543
109,181,-0.300699,0.000692,0.042477,0.026625,0.026689
110,180,-0.298849,0.000102,0.023514,0.029595,0.027146
111,179,-0.298302,0.000414,0.034037,0.018255,0.020768
112,176,-0.304447,-0.004751,0.035265,0.024654,0.026938
113,169,-0.302737,0.001135,0.021041,0.025928,0.024593
114,164,-0.307917,-0.001046,0.028946,0.022169,0.024550
115,160,-0.304644,0.004848,0.011575,0.018229,0.022064
116,152,-0.302807,0.006092,0.019249,0.037670,0.025285
117,148,-0.306200,-0.001314,0.011341,0.028386,0.023348
118,144,-0.308992,0.000846,0.022984,0.026548,0.021968
119,139,-0.309769,0.000212,0.017876,0.023748,0.028151
120,133,-0.303840,0.000856,0.041914,0.020452,0.025564
121,129,-0.306046,0.000420,0.018173,0.018206,0.020870
122,125,-0.305760,0.000087,0.042354,0.015217,0.014054
123,117,-0.307373,0.001511,0.041786,0.021949,0.021451
124,112,-0.304467,-0.000539,0.014886,0.016165,0.018216
125,105,-0.301355,-0.000245,0.011430,0.007762,0.012526
126,97,-0.299069,0.000589,0.007729,0.018271,0.018011
127,95,-0.301076,0.000866,0.011248,0.010904,0.016475
128,87,-0.294857,0.000241,0.031758,0.013677,0.017774
129,80,-0.300686,0.000873,-0.004444,0.019384,0.013108
130,76,-0.300785,0.000587,0.018733,0.013738,0.017147
131,72,-0.304478,-0.000799,0.038782,0.025175,0.029461
132,66,-0.305394,0.000119,0.040714,0.019929,0.014405
133,60,-0.305548,0.000558,0.028022,0.009367,0.016590
134,53,-0.305237,0.000367,-0.011256,0.029316,0.017364
135,51,-0.304124,-0.001448,-0.008287,0.011857,0.013855
136,49,-0.304894,0.000125,0.018569,0.005815,0.012210
137,46,-0.306712,-0.001329,0.023563,0.004660,0.008465
138,44,-0.310580,-0.000105,0.022859,0.009637,0.013100
139,37,-0.321956,-0.000566,-0.028143,0.027355,0.013181
140,33,-0.334819,-0.004122,0.029701,0.011404,0.011528
141,32,-0.333794,-0.000817,-0.023826,0.003659,0.006304
142,30,-0.322418,0.002416,0.019033,0.004434,0.009454
143,26,-0.317007,-0.004191,-0.009292,0.010490,0.006634
144,22,-0.324460,-0.002898,-0.002160,0.004168,0.005597
145,16,-0.335203,-0.009350,0.006904,0.000657,0.006990
146,15,-0.347445,-0.000411,-0.003975,0.021284,0.011954
147,12,-0.404206,-0.004291,0.010653,0.014092,0.014649
148,9,-0.370364,0.021302,-0.062721,0.037749,0.010347
149,9,-0.339579,0.030785,0.000269,0.000522,0.003763
150,8,-0.325063,0.003917,0.015812,0.001747,0.011752
151,8,-0.317048,0.008015,-0.000604,0.000001,0.000949
152,8,-0.319654,-0.002606,0.025252,0.001249,0.003570
153,7,-0.340143,-0.002027,0.010187,0.000220,0.001617
154,5,-0.379567,-0.001870,0.021505,0.001207,0.004627
155,3,-0.419074,0.007581,0.049244,0.003463,0.009819
156,3,-0.414507,0.004567,0.016051,0.000380,0.002083
157,2,-0.440335,-0.001172,0.066645,0.004251,0.017103
158,2,-0.444761,-0.004427,0.056721,0.003098,0.013908
159,2,-0.446789,-0.002027,0.015917,0.000250,0.002924
160,1,-0.513471,0.000875,0.000021,0.000000,0.000011
